,county,endrin
750,"Franklin, Kansas",0.0
751,"Franklin, Kentucky",0.0
752,"Franklin, Louisiana",0.0
753,"Franklin, Maine",0.0
754,"Franklin, Massachusetts",0.0
755,"Franklin, Missouri",0.0
756,"Franklin, Nebraska",0.003101449275362319
757,"Franklin, New York",0.0
758,"Franklin, North Carolina",0.0
759,"Franklin, Ohio",0.0
760,"Franklin, Pennsylvania",0.0
761,"Franklin, Texas",0.0
762,"Franklin, Vermont",0.0
763,"Franklin, Virginia",0.0
764,"Franklin, Washington",0.0
765,"Frederick, Maryland",0.0
766,"Frederick, Virginia",0.0
767,"Freeborn, Minnesota",0.0
768,"Freestone, Texas",0.0
769,"Fremont, Idaho",0.0
770,"Fremont, Wyoming",0.0
771,"Fresno, California",0.0
772,"Frio, Texas",0.0
773,"Frontier, Nebraska",0.0
774,"Fulton, Arkansas",0.0
775,"Fulton, Illinois",0.0
776,"Fulton, Indiana",0.0
777,"Fulton, Kentucky",0.0
778,"Fulton, New York",0.0
779,"Fulton, Pennsylvania",0.0
780,"Furnas, Nebraska",0.0
781,"Gadsden, Florida",0.0
782,"Gage, Nebraska",0.0
783,"Gaines, Texas",0.0
784,"Galax, Virginia",0.0
785,"Gallatin, Illinois",0.0
786,"Gallatin, Kentucky",0.0
787,"Gallatin, Montana",0.0
788,"Galveston, Texas",0.0
789,"Garden, Nebraska",0.0
790,"Garfield, Montana",0.0
791,"Garfield, Nebraska",0.0
792,"Garfield, Utah",0.0
793,"Garfield, Washington",0.0
794,"Garland, Arkansas",0.0
795,"Garrard, Kentucky",0.0
796,"Garrett, Maryland",0.0
797,"Garza, Texas",0.0
798,"Gasconade, Missouri",0.0
